99235fe1-181e-487d-bc7d-9a405ad4294a,94cb5e06-e75d-4f35-a36c-d63ac257a4db,English,FALSE
47f7dd4d-4053-4789-b5e2-645c79b57ab5,52746570-49d8-446f-b1e9-59f74e6e57ec,Mathematics,FALSE
907b7826-e000-4af2-bfdc-b31d1f63ae3c,bdebe4c2-06cd-4fd1-aef1-075a22e89272,Science,FALSE
79f02447-4607-4962-8999-f4e88166c282,fae283a3-7ac1-481a-8e43-bd05ed6d4d52,Law,FALSE
29a0d0d9-27bc-497d-b357-0db00b284c8a,7aff2582-1b80-45c5-8c73-5466f5e20b55,History,FALSE
c004f0f1-f52f-4060-91bb-8a3c9eb9cb93,55a6e3d1-9cec-498a-aea5-eac799bab49f,Spanish,FALSE
f54f42ff-0ae9-40fe-b876-3490699e32f0,a7dfca96-9524-4f94-9fa9-38d909737c98,English,FALSE
63f1ae58-39c8-4a4e-bd04-505bc9665d9d,d1c64406-e031-4518-8961-ec0d815dc0da,Mathematics,FALSE
cc38db1b-dc13-4aa6-953b-36267efcf6b2,b3643cf2-f3fd-425e-a10d-ad833d6c1bfe,Science,FALSE
ec78e190-4684-4580-894a-9de7bd8e99e3,fcbb29a0-4a51-465e-9f2f-0810ce007025,Geography,FALSE
